rat,half,dPrime,controlLesion,ambiguity
19,2,3.85545126163438,2,2
20,2,4.23580504552988,2,2
21,2,2.40038723241397,2,2
22,2,4.58021496624974,2,2
23,2,3.90477574686145,2,2
24,2,4.23580504552988,2,2
25,2,3.94710956783696,2,2
26,2,3.85545126163438,2,2
27,2,3.98484682305701,2,2
28,2,4.01838060860567,2,2
29,2,3.61374500138063,2,2
30,2,2.43634213338676,2,2
31,2,3.94710956783696,2,2
32,2,4.26559571443272,2,2
33,2,4.01838060860567,2,2
34,2,3.5441521370273,2,2
35,2,2.91783915181375,2,2
36,2,3.98484682305701,2,2
37,2,4.16450613848838,2,2
38,2,4.20221617602431,2,2
39,2,3.78529133575194,2,2
40,2,3.90477574686145,2,2
41,2,3.65474397878699,2,2
42,2,4.23580504552988,2,2
43,2,4.20221617602431,2,2
44,2,3.94710956783696,2,2
45,2,4.23580504552988,2,2
46,2,3.98484682305701,2,2
47,2,4.60923677761831,2,2
48,2,3.74344810842786,2,2
